iter,train_loss,val_loss
0,4.303612494468689,4.305968880653381
100,3.0780924201011657,3.105738401412964
200,2.7803428292274477,2.7724860429763796
300,2.639836072921753,2.644622802734375
400,2.576586127281189,2.5761517524719237
500,2.532923460006714,2.540229344367981
600,2.4909435153007506,2.498964285850525
700,2.4589046359062197,2.4860323548316954
800,2.4319959044456483,2.4341158986091616
900,2.410241115093231,2.4233535528182983
999,2.386779177188873,2.383050286769867
